Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2018,Searches: Jun 2018,Searches: Jul 2018,Searches: Aug 2018,Searches: Sep 2018,Searches: Oct 2018,Searches: Nov 2018,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019
advanced parkinson's,USD,210,Low,24,0.09,5,,,,,,210,320,210,110,210,260,210,140,260,210,170,170
parkinson's meds,USD,1600,Low,19,2.36,3.9,,,,,,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1900,1900
parking disease,USD,70,Low,23,0.15,1.35,,,,,,70,90,90,70,50,70,50,70,70,90,50,50
is parkinson's hereditary,USD,9900,Low,14,0.06,2,,,,,,9900,9900,12100,9900,8100,9900,9900,12100,12100,9900,12100,12100
can parkinsons be cured,USD,210,Low,22,1.17,4.5,,,,,,90,210,260,210,110,140,260,320,110,260,390,260
best treatment for parkinson's disease,USD,40,High,72,1.37,4,,,,,,50,40,30,40,40,20,50,40,50,30,70,50
parkinson's disease support groups,USD,320,Medium,51,1.57,4.38,,,,,,320,320,320,320,320,320,320,260,320,320,390,390
tell me about parkinson's disease,USD,140,Medium,60,0.3,2.32,,,,,,140,170,140,170,170,110,110,170,140,140,170,140
new parkinson's treatment 2016,USD,10,Medium,57,,,,,,,,10,10,10,10,10,0,0,10,10,0,0,10
symptoms of parkinson's disease in humans,USD,90,Medium,33,0.07,1.6,,,,,,10,40,20,140,320,260,140,140,40,20,20,10
parkinson's disease therapy,USD,140,Medium,46,2.14,11.7,,,,,,170,110,110,90,110,170,110,140,140,110,110,170
latest on parkinson's cures,USD,140,Medium,65,0.61,3.25,,,,,,140,90,90,110,110,90,140,170,170,140,170,140
best treatment for parkinson's,USD,90,High,100,1.41,4.76,,,,,,90,50,90,70,70,70,90,70,90,90,90,110
living with parkinson's disease,USD,320,Medium,37,0.53,5,,,,,,320,320,170,320,390,390,320,320,390,320,260,480
is parkinson curable,USD,170,Low,19,1.23,4.6,,,,,,140,140,140,140,140,170,170,170,170,170,260,210
management of parkinson's disease,USD,110,Low,31,2.57,6.6,,,,,,90,90,90,90,170,110,110,110,70,140,110,140
living with parkinson's,USD,260,Medium,36,1.2,5,,,,,,260,260,390,260,210,210,260,260,260,260,480,260
parkinson's disease new treatment,USD,260,High,71,1.57,6,,,,,,260,210,170,320,210,260,320,260,390,320,390,260
drugs to treat parkinson's,USD,170,Medium,51,3,26,,,,,,210,170,170,140,170,210,170,110,110,170,210,210
pd treatment,USD,210,Medium,43,2.33,15,,,,,,140,110,140,170,260,260,260,170,320,320,320,320
young onset parkinson's,USD,390,Low,5,2,6.65,,,,,,480,480,480,590,320,320,480,390,390,320,320,480
pd symptoms,USD,480,Low,20,0.17,4.23,,,,,,320,480,590,320,320,480,480,260,390,590,480,480
parkington disease,USD,50,Medium,46,0.08,0.55,,,,,,140,90,110,40,20,30,20,30,30,30,20,30
end stage parkinson's,USD,880,Low,20,0.06,4.09,,,,,,720,720,720,1000,880,1000,720,880,1000,880,880,1000
parkinson's disease info,USD,90,Medium,52,2,7,,,,,,50,50,40,70,90,140,70,70,110,110,110,110
is parkinson's disease curable,USD,140,Low,20,0.81,3.6,,,,,,90,110,90,90,110,210,140,140,210,210,140,140
parkinson's disorder,USD,260,Low,17,0.58,7,,,,,,210,170,170,170,210,210,320,320,260,320,320,390
parkinson's surgery,USD,480,Low,18,1.57,4.5,,,,,,480,390,480,590,390,590,590,590,480,480,590,590
signs and symptoms of parkinson's disease,USD,880,Low,27,0.11,4.61,,,,,,1000,720,590,590,880,1000,1300,720,880,1000,1300,1000
can parkinsons be treated,USD,20,Low,33,2.13,5.88,,,,,,30,10,20,10,10,10,20,20,20,10,20,20
parkinson's walk,USD,1600,High,100,0.36,5,,,,,,1300,1300,1300,1300,1900,1900,1300,1000,1300,1300,1600,2400
describe parkinson's disease,USD,70,Low,25,0.1,2,,,,,,90,50,50,50,50,70,70,110,70,70,70,90
parkinson operation,USD,10,Medium,49,1.57,5,,,,,,10,10,10,10,10,0,10,10,10,10,10,10
physical therapy for parkinson's,USD,590,Medium,39,2.65,7,,,,,,480,480,590,590,480,590,480,390,590,590,720,720
parkinsons signs,USD,210,Low,30,0.06,2,,,,,,210,170,210,210,210,210,260,260,320,210,320,260
parkinson's support,USD,170,Medium,46,1.73,5,,,,,,110,110,140,140,140,110,140,140,320,320,260,170
deep brain stimulation for parkinson's disease,USD,320,Low,25,2.41,9.75,,,,,,260,210,210,260,210,320,390,320,320,320,390,390
etiology of parkinson's disease,USD,390,Low,13,2,5,,,,,,260,260,260,210,390,480,590,320,260,480,480,590
new parkinson's medication,USD,260,Medium,62,1.84,3.9,,,,,,210,140,170,170,140,110,210,480,590,390,390,320
can parkinson's disease be cured,USD,140,Low,17,1,4.5,,,,,,260,90,70,90,110,140,140,110,320,90,110,170
parkinson's information,USD,110,Medium,58,2,7,,,,,,70,70,90,90,70,110,70,50,70,210,170,90
parkinson's treatment guidelines,USD,90,Medium,38,2.02,5,,,,,,90,90,90,110,140,110,70,70,110,110,90,90
advanced parkinson's symptoms,USD,90,Low,28,0.34,3.38,,,,,,90,90,110,90,90,90,50,50,90,110,90,140
stem cell treatment for parkinson's,USD,260,High,81,2.48,7.79,,,,,,390,320,320,320,210,260,260,210,210,170,210,170
parkinson's disease causes symptoms and treatment,USD,260,Medium,48,1.96,3.9,,,,,,170,140,320,210,260,390,320,390,480,320,140,170
latest treatment for parkinson's,USD,90,High,89,1.57,5.14,,,,,,90,70,110,110,70,70,90,50,90,90,110,110
vascular parkinsonism treatment,USD,50,Medium,51,2.5,5.35,,,,,,30,50,30,40,40,50,70,140,30,40,40,70
parkinson's disease symptoms and treatment,USD,70,Medium,61,1.9,5,,,,,,50,70,110,90,70,90,90,90,50,30,70,70
parkinson's symptoms treatment,USD,20,Medium,45,0.81,2.59,,,,,,20,10,10,10,10,10,20,20,30,30,40,20
parkinson's disease treatment guidelines,USD,210,Medium,64,2,4.1,,,,,,110,110,110,140,210,210,140,140,260,170,260,480
progression of parkinson's symptoms,USD,70,Low,22,0.14,3.25,,,,,,70,50,70,70,70,50,70,50,70,90,70,50
all about parkinson's disease,USD,50,Medium,54,0.11,2,,,,,,50,20,20,40,50,50,70,50,50,40,70,70
parkinson's symptoms and treatment,USD,10,Medium,64,1.57,4.56,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
early parkinson's disease,USD,140,Low,19,0.06,2,,,,,,170,110,140,170,390,90,110,110,170,110,90,90
parkinson's disease is caused by,USD,170,Low,12,0.18,3,,,,,,170,140,140,110,170,210,210,210,140,140,140,170
parkinson patient,USD,260,Low,16,2.11,5,,,,,,260,210,210,210,210,260,260,210,260,320,320,320
any cure for parkinson disease,USD,10,Medium,43,0.97,3,,,,,,20,10,10,10,10,10,10,10,20,10,10,10
early symptoms of parkinsons disease,USD,110,Low,33,0.12,4.61,,,,,,110,90,110,110,90,110,90,110,90,110,110,110
parkinson's disease foundation,USD,880,Medium,39,2,6.7,,,,,,1300,1000,880,880,720,880,880,880,720,720,720,720
tablets for parkinson's disease,USD,10,High,71,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,10
a cure for parkinson's disease,USD,20,High,90,0.69,3.73,,,,,,20,10,30,20,30,20,20,30,20,10,20,30
alternative treatment for parkinson's,USD,140,High,70,1.57,5,,,,,,140,140,210,140,110,110,110,140,210,140,170,170
current treatment for parkinson's disease,USD,20,Low,29,2.34,5,,,,,,20,10,10,10,10,10,10,20,10,10,20,40
parkinson's pain,USD,320,Low,30,0.08,3.9,,,,,,320,320,320,320,260,320,320,320,390,320,390,390
surgery for parkinson's disease treatment,USD,20,Medium,54,1.83,2.94,,,,,,20,20,20,20,20,20,10,20,20,10,20,10
medications to treat parkinson's,USD,70,Medium,40,2.42,5,,,,,,40,30,70,70,110,90,50,50,50,110,50,50
treatment for parkinson's disease generally includes,USD,10,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
is parkinson's a neurological disease,USD,140,Low,19,3.84,7.81,,,,,,110,140,170,140,140,210,170,170,140,90,140,140
parkinson's disease brain,USD,260,Low,7,0.07,5,,,,,,260,210,170,170,260,320,320,260,260,320,320,320
meds for parkinson's disease,USD,210,Low,24,2.36,4.66,,,,,,390,210,140,140,210,390,260,140,140,140,210,210
parkinson's disease causes and symptoms,USD,90,Medium,35,0.14,2.6,,,,,,70,90,90,70,90,110,140,110,110,90,50,50
www parkinsons disease,USD,40,High,89,0.3,3,,,,,,40,50,30,50,50,50,30,40,70,50,10,10
new drugs for parkinson's disease,USD,90,Medium,58,1.9,5,,,,,,70,50,90,50,70,30,90,140,140,50,90,70
parkinson's disease facts,USD,590,Low,27,0.24,4,,,,,,480,390,720,720,390,590,590,590,590,480,590,720
onset of parkinson's,USD,480,Low,16,0.07,3.25,,,,,,480,390,590,480,480,320,390,480,480,480,590,720
best medication for parkinson's disease,USD,20,High,71,1.07,2.6,,,,,,30,20,20,20,10,20,20,30,20,30,30,20
people with parkinsons,USD,110,Low,19,3.25,5,,,,,,110,70,90,90,90,70,90,110,110,110,140,140
parkinsons help,USD,90,Medium,53,1.51,3.6,,,,,,70,50,110,70,90,90,70,90,110,90,140,110
parkinson diagnose,USD,10,Low,31,0.07,5,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
best parkinson's medication,USD,30,High,74,1.47,5,,,,,,30,30,30,20,20,10,30,30,50,20,20,30
parkinson's disease and dementia,USD,260,Low,23,0.09,3,,,,,,260,260,260,210,260,260,320,260,320,320,320,320
parkinson like symptoms,USD,170,Low,27,0.8,3.77,,,,,,140,140,170,140,140,210,170,140,170,170,260,260
systems of parkinson's,USD,40,Medium,43,0.11,0.67,,,,,,40,70,50,50,20,30,20,10,30,30,90,70
parkinson treatments and cures,USD,10,High,100,,,,,,,,10,10,10,10,10,10,10,10,0,10,0,10
is parkinson's disease genetic,USD,1600,Low,11,0.06,3.59,,,,,,1900,1300,1300,1600,1300,1300,1600,1900,1600,1600,1900,1900
signs and symptoms of parkinson's,USD,720,Low,26,0.12,2.37,,,,,,480,590,720,880,720,590,590,720,720,720,590,880
boala parkinson,USD,10,Low,9,,,,,,,,10,10,10,10,10,10,10,20,10,10,10,10
medical treatment for parkinson's disease,USD,30,Low,28,2.5,5,,,,,,20,30,20,20,20,30,40,30,10,50,40,30
stem cell parkinson's,USD,480,Medium,50,1.4,7.5,,,,,,480,320,480,590,480,480,480,320,480,590,590,590
parkinson's foundation,USD,5400,Medium,49,2.31,7,,,,,,3600,3600,4400,4400,4400,5400,5400,6600,5400,5400,5400,6600
symptoms of advanced parkinson's disease,USD,50,Medium,34,0.2,4.61,,,,,,110,70,50,40,40,40,40,70,70,40,30,50
parkinsons info,USD,20,Low,33,3,7,,,,,,20,10,20,30,40,30,30,10,20,20,30,20
can parkinson's disease be treated,USD,30,Medium,38,2.25,5,,,,,,20,20,20,10,10,20,50,30,30,40,40,30
parkinson's disease surgery,USD,260,Low,22,1.57,5,,,,,,260,260,140,170,320,260,320,170,320,260,210,260
latest research parkinson's disease treatment,USD,10,Low,31,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
parkinson's rigidity,USD,390,Low,7,2,5,,,,,,320,260,260,320,320,320,320,320,390,480,480,590
parkinson's disease patient,USD,90,Low,19,1.92,5,,,,,,110,70,70,90,70,110,110,70,70,110,110,110
parkinson's disease tremor,USD,320,Low,13,1.81,7.5,,,,,,320,320,260,320,320,390,320,320,390,320,390,320
parkinsons symptoms age,USD,170,Low,26,0.08,2.6,,,,,,90,140,170,50,50,90,210,320,390,140,210,210
national parkinson foundation,USD,880,Low,32,2,7.55,,,,,,1300,1000,1000,1000,1000,1000,880,880,880,720,720,880
parkinson alzheimer,USD,20,Low,16,1.18,7.07,,,,,,20,10,20,10,30,20,20,20,20,30,40,40
parkinson disease diagnosis and treatment,USD,210,Medium,65,2.05,5,,,,,,390,140,110,210,210,260,260,210,210,170,170,110
parkinson's disease and treatment,USD,10,Medium,50,3,5.85,,,,,,20,10,10,10,10,10,10,10,10,10,10,10
symptoms of parkinson's disease in elderly,USD,90,Medium,49,0.14,4.61,,,,,,70,50,70,70,50,70,70,110,40,210,210,140
parkinson sickness,USD,20,Low,31,0.09,3,,,,,,10,10,20,20,10,10,10,20,10,30,20,30
parkinson news,USD,1600,Medium,36,1.33,4.5,,,,,,1600,1600,1900,1900,1300,1300,1600,1300,1600,1300,1600,1600
parkinson test,USD,140,Medium,34,0.16,3.05,,,,,,140,110,140,140,90,110,110,140,170,140,140,170
medications to treat parkinson's disease,USD,40,Medium,39,2.05,4,,,,,,70,40,40,40,10,20,70,40,40,10,70,50
parkin syndrome,USD,320,Low,13,2,7.01,,,,,,210,480,720,320,210,170,170,140,320,140,210,480
parkinson tablets,USD,10,Medium,57,,,,,,,,10,10,20,10,10,10,10,10,10,10,10,10
parkinson maladie,USD,10,Low,23,1.18,3,,,,,,10,10,10,10,10,40,10,10,20,10,10,10
about parkinsons,USD,30,Low,23,0.11,3.05,,,,,,10,20,20,20,40,50,20,20,20,30,20,30
parkinson syndrome treatment,USD,20,Medium,36,2,4.4,,,,,,30,20,20,30,20,20,20,10,20,10,10,30
parkinson's syndrome symptoms,USD,170,Medium,36,0.1,3,,,,,,140,260,260,170,140,170,170,210,170,140,110,210
pathophysiology of parkinson's disease,USD,1000,Low,8,2,5.19,,,,,,880,720,720,720,1000,1600,1600,720,590,1300,1300,1600
effects of parkinson's,USD,260,Low,17,0.15,3,,,,,,170,210,260,260,260,260,260,320,210,260,320,210
medication for parkinson's tremors,USD,170,High,100,2.61,7.5,,,,,,90,210,170,210,140,140,110,170,170,170,140,140
is parkinson's symptoms,USD,10,Low,15,0.06,2.37,,,,,,10,10,10,10,10,10,10,10,10,20,20,20
antiparkinson medications,USD,210,Low,17,4,7.5,,,,,,140,110,140,170,170,210,210,210,210,260,260,390
parkansis disease,USD,30,Low,21,0.05,3.51,,,,,,30,30,20,20,10,30,40,30,30,30,30,30
parkinson disease cure 2015,USD,10,High,71,,,,,,,,10,10,10,10,10,10,10,10,20,10,0,10
new treatment for parkinson's disease 2015,USD,10,Unknown,,,,,,,,,10,10,10,0,0,0,0,0,0,0,0,0
drugs for parkinson's tremors,USD,10,Medium,57,2.15,7.5,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
prevention of parkinson's disease,USD,590,Low,18,0.11,3.83,,,,,,720,590,590,590,480,590,720,590,590,480,590,590
end stage parkinson's disease,USD,480,Low,24,0.06,3.14,,,,,,320,720,720,260,210,210,480,390,480,320,720,480
what is parkinsons,USD,3600,Low,23,0.06,2.25,,,,,,3600,2900,3600,2900,2400,3600,3600,3600,3600,3600,3600,4400
most effective treatment for parkinson's disease,USD,10,Medium,38,2.42,4.88,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
for parkinson's disease,USD,20,Low,28,0.39,3,,,,,,10,10,30,20,10,20,30,20,20,20,20,20
parkinson like disease,USD,720,Low,19,0.05,3.52,,,,,,590,590,720,720,590,590,720,720,720,720,720,720
essential tremor,USD,49500,Low,19,0.14,5.64,,,,,,40500,40500,49500,49500,40500,49500,40500,40500,49500,40500,49500,49500
parkinson doctors,USD,260,Medium,39,1.91,7.03,,,,,,260,320,210,210,260,260,260,320,320,260,390,320
systems of parkinson's disease,USD,40,Medium,38,0.11,1.49,,,,,,70,50,50,40,40,40,40,30,50,30,30,50
parkinson forum,USD,70,Low,23,1.88,3.14,,,,,,70,50,70,70,70,70,40,50,50,50,50,110
parkinson disease treatment natural remedies,USD,140,Medium,51,1.63,4,,,,,,170,110,140,110,110,170,170,170,110,90,140,170
the parkinson's disease,USD,20,Low,32,0.21,4.84,,,,,,10,20,20,30,10,10,30,20,20,20,30,20
interventions for parkinson's disease,USD,90,Low,18,2,5,,,,,,70,70,70,30,50,140,110,70,70,110,90,110
medication for tremors from parkinson's,USD,70,High,98,2.55,7.5,,,,,,50,40,40,70,50,50,50,50,90,70,90,70
treatment for parkinson's disease usually includes,USD,30,Medium,39,2.05,4.44,,,,,,40,50,10,10,10,70,20,20,10,30,40,40
meds for parkinson,USD,40,High,72,1.51,3.9,,,,,,20,30,30,30,40,30,30,50,30,40,40,70
latest cure for parkinson's disease,USD,20,High,85,0.86,4.07,,,,,,10,20,30,20,10,20,20,20,20,20,30,30
new cure parkinson's disease,USD,20,High,92,0.5,3.6,,,,,,30,40,40,20,10,10,20,10,20,10,10,10
parkinson's disease overview,USD,50,Low,17,0.58,4.32,,,,,,50,10,30,20,50,70,50,50,50,50,70,70
